"species","class","order","family","source"
"Ameivula abaetensis","Reptilia","Squamata","Teiidae","faunabr"
"Kannabateomys amblyonyx","Mammalia","Rodentia","Echimyidae","faunabr"
"Cerradomys maracajuensis","Mammalia","Rodentia","Cricetidae","faunabr"
"Callicebus pallescens","Mammalia","Primates","Pitheciidae","faunabr"
"Vampyrodes caraccioli","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Oligoryzomys rupestris","Mammalia","Rodentia","Cricetidae","faunabr"
"Leptodactylus viridis","Amphibia","Anura","Leptodactylidae","faunabr"
"Mico melanurus","Mammalia","Primates","Cebidae","faunabr"
"Lycalopex gymnocercus","Mammalia","Carnivora","Canidae","faunabr"
"Rhipidomys emiliae","Mammalia","Rodentia","Cricetidae","faunabr"
"Marmosops ocellatus","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Juliomys pictipes","Mammalia","Rodentia","Cricetidae","faunabr"
"Amphisbaena bedai","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Puma concolor","Mammalia","Carnivora","Felidae","faunabr"
"Helicops carinicaudus","Reptilia","Squamata","Dipsadidae","faunabr"
"Phalotris concolor","Reptilia","Squamata","Dipsadidae","faunabr"
"Adenomera bokermanni","Amphibia","Anura","Leptodactylidae","faunabr"
"Psomophis obtusus","Reptilia","Squamata","Dipsadidae","faunabr"
"Coendou prehensilis","Mammalia","Rodentia","Erethizontidae","faunabr"
"Lionycteris spurrelli","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Euryoryzomys lamia","Mammalia","Rodentia","Cricetidae","faunabr"
"Myocastor coypus","Mammalia","Rodentia","Echimyidae","faunabr"
"Amphisbaena maranhensis","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Cyclopes didactylus","Mammalia","Pilosa","Cyclopedidae","faunabr"
"Micrurus altirostris","Reptilia","Squamata","Elapidae","faunabr"
"Sooretamys angouya","Mammalia","Rodentia","Cricetidae","faunabr"
"Deltamys kempi","Mammalia","Rodentia","Cricetidae","faunabr"
"Sapajus xanthosternos","Mammalia","Primates","Cebidae","faunabr"
"Marmosa paraguayana","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Leptodactylus mystaceus","Amphibia","Anura","Leptodactylidae","faunabr"
"Siphlophis pulcher","Reptilia","Squamata","Dipsadidae","faunabr"
"Hylaeamys yunganus","Mammalia","Rodentia","Cricetidae","faunabr"
"Lontra longicaudis","Mammalia","Carnivora","Mustelidae","faunabr"
"Lampronycteris brachyotis","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Aplastodiscus leucopygius","Amphibia","Anura","Hylidae","faunabr"
"Lobodon carcinophaga","Mammalia","Carnivora","Phocidae","faunabr"
"Calomys callosus","Mammalia","Rodentia","Cricetidae","faunabr"
"Philander opossum","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Leptodactylus podicipinus","Amphibia","Anura","Leptodactylidae","faunabr"
"Trinomys setosus","Mammalia","Rodentia","Echimyidae","faunabr"
"Sturnira tildae","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Alouatta caraya","Mammalia","Primates","Atelidae","faunabr"
"Dermochelys coriacea","Reptilia","Testudines","Dermochelyidae","faunabr"
"Taeniophallus occipitalis","Reptilia","Squamata","Dipsadidae","faunabr"
"Callicebus nigrifrons","Mammalia","Primates","Pitheciidae","faunabr"
"Paleosuchus palpebrosus","Reptilia","Crocodylia","Alligatoridae","faunabr"
"Oecomys cleberi","Mammalia","Rodentia","Cricetidae","faunabr"
"Leptodactylus cupreus","Amphibia","Anura","Leptodactylidae","faunabr"
"Siphlophis leucocephalus","Reptilia","Squamata","Dipsadidae","faunabr"
"Caiman latirostris","Reptilia","Crocodylia","Alligatoridae","faunabr"
"Makalata didelphoides","Mammalia","Rodentia","Echimyidae","faunabr"
"Oligoryzomys flavescens","Mammalia","Rodentia","Cricetidae","faunabr"
"Thamnodynastes rutilus","Reptilia","Squamata","Dipsadidae","faunabr"
"Vampyressa pusilla","Mammalia","Chiroptera","Phyllostomidae","faunabr"
