"","species","subspecies","scientificName","acceptedName","kingdom","phylum","class","order","family","genus","lifeForm","habitat","states","countryCode","origin","taxonomicStatus","nomenclaturalStatus","vernacularName","taxonRank","id"
"17916","Ameivula abaetensis",NA,"Ameivula abaetensis (Dias, Rocha & Vrcibradic, 2002)",NA,"Animalia","Chordata","Reptilia","Squamata","Teiidae","Ameivula","free_living_individual","terrestrial","BA;SE","BR","native","accepted",NA,NA,"species",22691
"18082","Kannabateomys amblyonyx",NA,"Kannabateomys amblyonyx (Wagner, 1845)",NA,"Animalia","Chordata","Mammalia","Rodentia","Echimyidae","Kannabateomys","herbivore;free_living_individual","arboreal","ES;MG;PR;RJ;RS;SC;SP","AR;BR;PY","native","accepted",NA,"Rato-da-taquara","species",22886
"18209","Cerradomys maracajuensis",NA,"Cerradomys maracajuensis (Langguth & Bonvicino, 2002)",NA,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Cerradomys","free_living_individual","terrestrial","GO;MG;MS;MT","BO;BR;PY","native","accepted",NA,"Maracaju Cerradomys, Rato-de-Maracaju","species",23041
"18376","Callicebus pallescens",NA,"Callicebus (Plecturocebus) pallescens Thomas, 1907",NA,"Animalia","Chordata","Mammalia","Primates","Pitheciidae","Callicebus","free_living_individual","arboreal;terrestrial","MS","BO;BR;PY","native","accepted",NA,"Boca-d'agua","species",23250
"18391","Vampyrodes caraccioli",NA,"Vampyrodes caraccioli (Thomas, 1889)",NA,"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Vampyrodes","free_living_individual","terrestrial","AC;AM;AP;BA;ES;MG;MS;MT;PA;PR;RJ;RO;SC;SP","BO;BR;CO;EC;PE;SR;TT;VE","native","accepted",NA,NA,"species",23269
"18398","Oligoryzomys rupestris",NA,"Oligoryzomys rupestris Weksler & Bonvicino, 2005",NA,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Oligoryzomys","free_living_individual","terrestrial","BA;GO;MG","BR","native","accepted",NA,"Rato-do-arroz-rupestre","species",23277
"18445","Leptodactylus viridis",NA,"Leptodactylus viridis Jim & Spirandeli-Cruz, 1973",NA,"Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Leptodactylus","free_living_individual","terrestrial","BA;MG","BR","native","accepted",NA,NA,"species",23341
"18484","Mico melanurus",NA,"Mico melanurus (Geoffroy, 1812)",NA,"Animalia","Chordata","Mammalia","Primates","Cebidae","Mico","free_living_individual","terrestrial","AM;MS;MT;RO","BO;BR;PY","native","accepted",NA,"Black-tailed marmoset, Ouistiti a queue noire, Titi de cola negra, Sagui-de-rabo-preto, Sagui","species",23384
"18545","Lycalopex gymnocercus",NA,"Lycalopex gymnocercus (Fischer, 1814)",NA,"Animalia","Chordata","Mammalia","Carnivora","Canidae","Lycalopex","free_living_individual","terrestrial","PR;RS;SC;SP","AR;BO;BR;PY;UY","native","accepted",NA,"raposa-do-campo, graxaim-do-campo, Pampas Fox, Azara's Zorro, Azara's Fox, Zorro Gris, Zorro De Azara, Zorro De Campo, Zorro Pampa, Renard D'Azara","species",23460
"19020","Rhipidomys emiliae",NA,"Rhipidomys emiliae (Allen, 1916)",NA,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Rhipidomys","herbivore;free_living_individual","arboreal","MA;PA","BR","native","accepted",NA,"Rato-da-arvore","species",24047
