"","species","scientificName","numberOfOccurrences","class","order","family","speciesKey","iucnRedListCategory"
"1","Pyriglena leucoptera","Pyriglena leucoptera (Vieillot, 1818)",33407,"Aves","Passeriformes","Thamnophilidae",2490068,"LC"
"2","Hemitriccus mirandae","Hemitriccus mirandae (E.Snethlage, 1925)",937,"Aves","Passeriformes","Tyrannidae",2482986,"VU"
"3","Elaenia albiceps","Elaenia albiceps (Orbigny & Lafresnaye, 1837)",819,"Aves","Passeriformes","Tyrannidae",5229651,"LC"
"4","Anodorhynchus hyacinthinus","Anodorhynchus hyacinthinus (Latham, 1790)",48,"Aves","Psittaciformes","Psittacidae",2479359,"VU"
"5","Formicivora rufa","Formicivora rufa (Wied-Neuwied, 1831)",1417,"Aves","Passeriformes","Thamnophilidae",2490041,"LC"
"6","Augastes scutatus","Augastes scutatus (Temminck, 1824)",746,"Aves","Apodiformes","Trochilidae",2476272,"LC"
"7","Amazonetta brasiliensis","Amazonetta brasiliensis (J.F.Gmelin, 1789)",37773,"Aves","Anseriformes","Anatidae",2498411,"LC"
"8","Knipolegus nigerrimus","Knipolegus nigerrimus (Vieillot, 1818)",5772,"Aves","Passeriformes","Tyrannidae",2483049,"LC"
"9","Conopophaga cearae","Conopophaga cearae Cory, 1916",1256,"Aves","Passeriformes","Conopophagidae",6101035,"NT"
"10","Polystictus pectoralis","Polystictus pectoralis (Vieillot, 1817)",296,"Aves","Passeriformes","Tyrannidae",5229775,"NT"
"11","Chlorophonia cyanea","Chlorophonia cyanea (Thunberg, 1822)",10701,"Aves","Passeriformes","Fringillidae",2488315,"LC"
"12","Piculus chrysochloros","Piculus chrysochloros (Vieillot, 1818)",606,"Aves","Piciformes","Picidae",5228906,"LC"
"13","Crypturellus soui","Crypturellus soui (Hermann, 1783)",2019,"Aves","Tinamiformes","Tinamidae",2477507,"LC"
"14","Cathartes burrovianus","Cathartes burrovianus Cassin, 1845",14761,"Aves","Accipitriformes","Cathartidae",2481928,"LC"
"15","Ardea alba","Ardea alba Linnaeus, 1758",66002,"Aves","Pelecaniformes","Ardeidae",9752617,"LC"
"16","Chrysuronia leucogaster","Chrysuronia leucogaster (J.F.Gmelin, 1788)",1630,"Aves","Apodiformes","Trochilidae",11046492,"NE"
"17","Dysithamnus mentalis","Dysithamnus mentalis (Temminck, 1823)",37650,"Aves","Passeriformes","Thamnophilidae",2490033,"LC"
"18","Aratinga auricapillus","Aratinga auricapillus (Kuhl, 1820)",7577,"Aves","Psittaciformes","Psittacidae",2479097,"LC"
"19","Sporophila pileata","Sporophila pileata (P.L.Sclater, 1865)",1395,"Aves","Passeriformes","Thraupidae",7735140,"LC"
"20","Serpophaga griseicapilla","Serpophaga griseicapilla Straneck, 2007",73,"Aves","Passeriformes","Tyrannidae",6086503,"LC"
"21","Coccyzus euleri","Coccyzus euleri Cabanis, 1873",650,"Aves","Cuculiformes","Cuculidae",2496293,"LC"
"22","Orthopsittaca manilata","Orthopsittaca manilata (Boddaert, 1783)",214,"Aves","Psittaciformes","Psittacidae",2479446,"LC"
"23","Calonectris diomedea","Calonectris diomedea (Scopoli, 1769)",29,"Aves","Procellariiformes","Procellariidae",2481521,"LC"
"24","Morphnus guianensis","Morphnus guianensis (Daudin, 1800)",14,"Aves","Accipitriformes","Accipitridae",2480576,"NT"
"25","Dendropsophus melanargyreus","Dendropsophus melanargyreus (Cope, 1887)",5,"Amphibia","Anura","Hylidae",2428462,"LC"
"26","Rhinella ornata","Rhinella ornata (Spix, 1824)",1055,"Amphibia","Anura","Bufonidae",5216887,"LC"
"27","Brachycephalus hermogenesi","Brachycephalus hermogenesi (Giaretta & Sawaya, 1998)",26,"Amphibia","Anura","Brachycephalidae",5217419,"LC"
"28","Ololygon agilis","Ololygon agilis (Cruz & Peixoto, 1983)",8,"Amphibia","Anura","Hylidae",10849602,"LC"
"29","Melanophryniscus alipioi","Melanophryniscus alipioi Langone, Segalla, Bornschein & de Sá, 2008",9,"Amphibia","Anura","Bufonidae",2422154,"VU"
"30","Oreophylax moreirae","Oreophylax moreirae (Ribeiro, 1906)",3,"Aves","Passeriformes","Furnariidae",2485998,"LC"
"31","Xenodon merremii","Xenodon merremii (Wagler, 1824)",573,"Squamata",NA,"Colubridae",5224072,"LC"
"32","Dendrophryniscus haddadi","Dendrophryniscus haddadi Cruz, Caramaschi, Fusinatto & Brasileiro, 2019",11,"Amphibia","Anura","Bufonidae",10147187,"LC"
"33","Enyalius perditus","Enyalius perditus Jackson, 1978",339,"Squamata",NA,"Leiosauridae",5226339,"LC"
"34","Pseudopaludicola ameghini","Pseudopaludicola ameghini (Cope, 1887)",8,"Amphibia","Anura","Leptodactylidae",10671287,"NE"
"35","Celeus torquatus","Celeus torquatus (Boddaert, 1783)",15,"Aves","Piciformes","Picidae",5228945,"LC"
"36","Guyramemua affine","Guyramemua affine (Burmeister, 1856)",5,"Aves","Passeriformes","Tyrannidae",10824822,"NE"
"37","Adenomera nana","Adenomera nana (Müller, 1922)",53,"Amphibia","Anura","Leptodactylidae",10722763,"LC"
"38","Melanophryniscus simplex","Melanophryniscus simplex Caramaschi & Cruz, 2002",28,"Amphibia","Anura","Bufonidae",2422146,"LC"
"39","Alouatta belzebul","Alouatta belzebul (Linnaeus, 1766)",38,"Mammalia","Primates","Atelidae",2436655,"VU"
"40","Boana pombali","Boana pombali (Caramaschi, Pimenta & Feio, 2004)",17,"Amphibia","Anura","Hylidae",10753513,"LC"
"41","Epicrates cenchria","Epicrates cenchria (Linnaeus, 1758)",32,"Squamata",NA,"Boidae",2465228,"LC"
"42","Oxymycterus roberti","Oxymycterus roberti Thomas, 1901",2,"Mammalia","Rodentia","Cricetidae",2438943,"LC"
"43","Pyrrhura molinae","Pyrrhura molinae (Massena & Souance, 1854)",9,"Aves","Psittaciformes","Psittacidae",2479804,"LC"
"44","Crossodactylodes itambe","Crossodactylodes itambe Barata, Santos, Leite & Garcias, 2013",5,"Amphibia","Anura","Leptodactylidae",8687883,"CR"
"45","Phyllomedusa bicolor","Phyllomedusa bicolor (Boddaert, 1772)",2,"Amphibia","Anura","Phyllomedusidae",2427977,"LC"
"46","Melanophryniscus stelzneri","Melanophryniscus stelzneri (Weyenbergh, 1875)",11,"Amphibia","Anura","Bufonidae",2422156,"LC"
"47","Paratelmatobius lutzii","Paratelmatobius lutzii Lutz & Carvalho, 1958",1,"Amphibia","Anura","Leptodactylidae",2426187,"DD"
"48","Gastrotheca pulchra","Gastrotheca pulchra Caramaschi & Rodrigues, 2007",1,"Amphibia","Anura","Hemiphractidae",5218160,"DD"
"49","Rhinella mirandaribeiroi","Rhinella mirandaribeiroi (Gallardo, 1965)",2,"Amphibia","Anura","Bufonidae",10730320,"NE"
"50","Buteo albicaudatus","Buteo albicaudatus Vieillot, 1816",3,"Aves","Accipitriformes","Accipitridae",2480519,"LC"
